image_id,filepath,label
lungaca2296,~/projects/bu/dx799_01/mod_c_capstone/data/raw/lc25000/lung_image_sets/lung_aca/lungaca2296.jpeg,lung_aca
lungaca1843,~/projects/bu/dx799_01/mod_c_capstone/data/raw/lc25000/lung_image_sets/lung_aca/lungaca1843.jpeg,lung_aca
lungaca294,~/projects/bu/dx799_01/mod_c_capstone/data/raw/lc25000/lung_image_sets/lung_aca/lungaca294.jpeg,lung_aca
lungaca3487,~/projects/bu/dx799_01/mod_c_capstone/data/raw/lc25000/lung_image_sets/lung_aca/lungaca3487.jpeg,lung_aca
lungaca4342,~/projects/bu/dx799_01/mod_c_capstone/data/raw/lc25000/lung_image_sets/lung_aca/lungaca4342.jpeg,lung_aca
lungaca1140,~/projects/bu/dx799_01/mod_c_capstone/data/raw/lc25000/lung_image_sets/lung_aca/lungaca1140.jpeg,lung_aca
lungaca4712,~/projects/bu/dx799_01/mod_c_capstone/data/raw/lc25000/lung_image_sets/lung_aca/lungaca4712.jpeg,lung_aca
lungaca1510,~/projects/bu/dx799_01/mod_c_capstone/data/raw/lc25000/lung_image_sets/lung_aca/lungaca1510.jpeg,lung_aca
lungaca1005,~/projects/bu/dx799_01/mod_c_capstone/data/raw/lc25000/lung_image_sets/lung_aca/lungaca1005.jpeg,lung_aca
lungaca3038,~/projects/bu/dx799_01/mod_c_capstone/data/raw/lc25000/lung_image_sets/lung_aca/lungaca3038.jpeg,lung_aca
lungaca4207,~/projects/bu/dx799_01/mod_c_capstone/data/raw/lc25000/lung_image_sets/lung_aca/lungaca4207.jpeg,lung_aca
lungaca1455,~/projects/bu/dx799_01/mod_c_capstone/data/raw/lc25000/lung_image_sets/lung_aca/lungaca1455.jpeg,lung_aca
lungaca3468,~/projects/bu/dx799_01/mod_c_capstone/data/raw/lc25000/lung_image_sets/lung_aca/lungaca3468.jpeg,lung_aca
lungaca4657,~/projects/bu/dx799_01/mod_c_capstone/data/raw/lc25000/lung_image_sets/lung_aca/lungaca4657.jpeg,lung_aca
lungaca3192,~/projects/bu/dx799_01/mod_c_capstone/data/raw/lc25000/lung_image_sets/lung_aca/lungaca3192.jpeg,lung_aca
lungaca1906,~/projects/bu/dx799_01/mod_c_capstone/data/raw/lc25000/lung_image_sets/lung_aca/lungaca1906.jpeg,lung_aca
lungaca2629,~/projects/bu/dx799_01/mod_c_capstone/data/raw/lc25000/lung_image_sets/lung_aca/lungaca2629.jpeg,lung_aca
lungaca781,~/projects/bu/dx799_01/mod_c_capstone/data/raw/lc25000/lung_image_sets/lung_aca/lungaca781.jpeg,lung_aca
lungaca2279,~/projects/bu/dx799_01/mod_c_capstone/data/raw/lc25000/lung_image_sets/lung_aca/lungaca2279.jpeg,lung_aca
lungaca3891,~/projects/bu/dx799_01/mod_c_capstone/data/raw/lc25000/lung_image_sets/lung_aca/lungaca3891.jpeg,lung_aca
lungaca2783,~/projects/bu/dx799_01/mod_c_capstone/data/raw/lc25000/lung_image_sets/lung_aca/lungaca2783.jpeg,lung_aca
lungaca4084,~/projects/bu/dx799_01/mod_c_capstone/data/raw/lc25000/lung_image_sets/lung_aca/lungaca4084.jpeg,lung_aca
lungaca3741,~/projects/bu/dx799_01/mod_c_capstone/data/raw/lc25000/lung_image_sets/lung_aca/lungaca3741.jpeg,lung_aca
lungaca2853,~/projects/bu/dx799_01/mod_c_capstone/data/raw/lc25000/lung_image_sets/lung_aca/lungaca2853.jpeg,lung_aca
lungaca1286,~/projects/bu/dx799_01/mod_c_capstone/data/raw/lc25000/lung_image_sets/lung_aca/lungaca1286.jpeg,lung_aca
lungaca851,~/projects/bu/dx799_01/mod_c_capstone/data/raw/lc25000/lung_image_sets/lung_aca/lungaca851.jpeg,lung_aca
lungaca3311,~/projects/bu/dx799_01/mod_c_capstone/data/raw/lc25000/lung_image_sets/lung_aca/lungaca3311.jpeg,lung_aca
lungaca502,~/projects/bu/dx799_01/mod_c_capstone/data/raw/lc25000/lung_image_sets/lung_aca/lungaca502.jpeg,lung_aca
lungaca2150,~/projects/bu/dx799_01/mod_c_capstone/data/raw/lc25000/lung_image_sets/lung_aca/lungaca2150.jpeg,lung_aca
lungaca3,~/projects/bu/dx799_01/mod_c_capstone/data/raw/lc25000/lung_image_sets/lung_aca/lungaca3.jpeg,lung_aca
lungaca4987,~/projects/bu/dx799_01/mod_c_capstone/data/raw/lc25000/lung_image_sets/lung_aca/lungaca4987.jpeg,lung_aca
